,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
3788,011818.OF,鹏扬景阳一年持有A,鹏扬基金,中国建设银行,混合型,20210928,,,20210902,,17.6066,0.8,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211018,20220927,O
3789,012572.OF,恒越乐享添利A,恒越基金,广发证券,混合型,20210928,,,20210913,,1.4588,0.8,0.15,,1.0,0.001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+中证香港100指数收益率*5%,L,混合型,契约型开放式,,20211228,20211228,O
3790,013354.OF,鹏华上华一年持有C,鹏华基金,上海银行,混合型,20210928,,,20210913,,0.0543,0.8,0.15,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20211227,20220928,O
3791,013242.OF,北信瑞丰优势行业,北信瑞丰基金,中国建设银行,股票型,20210927,,,20210901,,2.1106,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20211022,20211022,O
3792,012732.OF,融通通跃一年定开,融通基金,兴业银行,债券型,20210927,,,20210823,,20.1,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20220927,20220927,O
3793,159777.SZ,创科技ETF基金,国联安基金,中国银河,股票型,20210927,,20211018,20210913,,2.4928,0.5,0.1,,1.0,0.1,,创业板科技指数收益率,L,被动指数型,契约型开放式,,20211018,20211018,E
3794,011861.OF,南方中证1000ETF联接C,南方基金,招商银行,股票型,20210927,,,20210903,,1.1172,0.5,0.1,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211018,20211018,O
3795,012034.OF,广发睿盛C,广发基金,交通银行,混合型,20210927,,,20210908,,0.5404,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20211129,20211129,O
3796,013092.OF,上投摩根均衡优选C,上投摩根基金,招商银行,混合型,20210927,,,20210906,,1.036,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20211027,20211027,O
3797,012033.OF,广发睿盛A,广发基金,交通银行,混合型,20210927,,,20210908,,4.3811,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20211129,20211129,O
3798,013091.OF,上投摩根均衡优选A,上投摩根基金,招商银行,混合型,20210927,,,20210906,,9.9401,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20211027,20211027,O
3799,561130.SH,国货ETF,富国基金,中国银行,股票型,20210927,,20211018,20210913,,8.4394,0.5,0.1,,1.0,0.1,,中证新华社民族品牌工程指数收益率,L,被动指数型,契约型开放式,,20211018,20211018,E
3800,159723.SZ,科技龙头ETF,汇添富基金,中国工商银行,股票型,20210927,,20211015,20210906,,2.4103,0.15,0.05,,1.0,0.1,,中证沪港深科技龙头指数收益率,L,被动指数型,契约型开放式,,20211015,20211015,E
3801,011860.OF,南方中证1000ETF联接A,南方基金,招商银行,股票型,20210927,,,20210903,,0.9348,0.5,0.1,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211018,20211018,O
3802,011664.OF,华安研究驱动C,华安基金,中信银行,混合型,20210926,,,20210729,,5.535,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,20211224,20211224,O
3803,011663.OF,华安研究驱动A,华安基金,中信银行,混合型,20210926,,,20210729,,19.2513,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,20211224,20211224,O
3804,516860.SH,金融科技ETF,博时基金,中国建设银行,股票型,20210924,,20211011,20210628,,2.0152,0.5,0.1,,1.0,0.1,,中证金融科技主题指数收益率,L,被动指数型,契约型开放式,,20211011,20211011,E
3805,013720.OF,新华增怡E,新华基金,中国建设银行,债券型,20210924,,,,,,0.7,0.2,,1.0,,,中债综合全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20210924,20210927,O
3806,011836.OF,银华智能建造,银华基金,中国农业银行,股票型,20210924,,,20210906,,3.0898,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中债综合指数收益率*20%,L,股票型,契约型开放式,,20211223,20211223,O
3807,970072.OF,华安证券合赢添利,华安证券,中国光大银行,债券型,20210924,,,20210924,,,0.6,0.1,,1.0,,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+金融机构人民币活期存款基准利率(税后)*5%,L,债券型,契约型开放式,,20210927,20210928,O
3808,012006.OF,信澳恒盛C,信达澳亚基金,交通银行,混合型,20210924,,,20210901,,0.7727,1.2,0.15,,1.0,0.001,,中债综合财富(总值)指数收益率*70%+中证800指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211118,20211118,O
3809,013023.OF,平安均衡优选1年持有A,平安基金,中国银行,混合型,20210924,,,20210818,,4.7385,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20211123,20220926,O
3810,013175.OF,海富通碳中和主题A,海富通基金,招商银行,混合型,20210924,,,20210906,,8.119,1.5,0.25,,1.0,0.001,,中证环保产业指数*75%+中证全债指数收益率*20%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20211223,20211223,O
3811,013176.OF,海富通碳中和主题C,海富通基金,招商银行,混合型,20210924,,,20210906,,11.1552,1.5,0.25,,1.0,0.001,,中证环保产业指数*75%+中证全债指数收益率*20%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20211223,20211223,O
3812,013247.OF,交银施罗德瑞卓三年持有,交银施罗德基金,中国建设银行,混合型,20210924,,,20210902,,21.1671,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中证综合债券指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211220,,O
3813,013024.OF,平安均衡优选1年持有C,平安基金,中国银行,混合型,20210924,,,20210818,,0.301,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20211123,20220926,O
3814,013613.OF,宝盈国家安全战略沪港深C,宝盈基金,中国银行,股票型,20210924,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*65%+中债综合指数收益率*20%+恒生综合指数收益率*15%,L,股票型,契约型开放式,,20210924,20210924,O
3815,013412.OF,嘉实方舟6个月滚动持有C,嘉实基金,招商银行,债券型,20210924,,,20210901,,0.5345,0.6,0.15,,1.0,0.0001,,中债总财富(总值)指数*80%+6个月定期存款利率(税后)*15%+中证800指数收益率*2.5%+恒生指数收益率(人民币计价)*2.5%,L,债券型,契约型开放式,,20211012,20220324,O
3816,013097.OF,财通资管双盈A,财通证券资管,华夏银行,债券型,20210924,,,20210913,,0.2624,0.8,0.15,,1.0,0.001,,中债综合指数(全价)收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211028,20211028,O
3817,013098.OF,财通资管双盈C,财通证券资管,华夏银行,债券型,20210924,,,20210913,,0.1086,0.8,0.15,,1.0,0.001,,中债综合指数(全价)收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211028,20211028,O
3818,013411.OF,嘉实方舟6个月滚动持有A,嘉实基金,招商银行,债券型,20210924,,,20210901,,0.6908,0.6,0.15,,1.0,0.0001,,中债总财富(总值)指数*80%+6个月定期存款利率(税后)*15%+中证800指数收益率*2.5%+恒生指数收益率(人民币计价)*2.5%,L,债券型,契约型开放式,,20211012,20220324,O
3819,012005.OF,信澳恒盛A,信达澳亚基金,交通银行,混合型,20210924,,,20210901,,2.4124,1.2,0.15,,1.0,0.001,,中债综合财富(总值)指数收益率*70%+中证800指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211118,20211118,O
3820,011863.OF,南方蓝筹成长C,南方基金,中国银行,混合型,20210923,,,20210730,,1.1479,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O
3821,012727.OF,申万菱信睿选C,申万菱信基金,兴业银行,混合型,20210923,20220902,,20210621,,2.0023,0.6,0.2,,1.0,0.0001,,中债综合指数收益率*70%+沪深300指数收益率*30%,D,混合型,契约型开放式,,20211025,20211025,O
3822,013711.OF,广发再融资主题C,广发基金,中国工商银行,混合型,20210923,,,,,,0.6,0.2,,1.0,,,中证800指数收益率*55%+中证全债指数收益率*45%,L,灵活配置型,契约型开放式,,20210923,20210924,O
3823,013333.OF,东兴兴瑞一年定开C,东兴基金,中国民生银行,债券型,20210923,,,,,,0.7,0.15,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20211008,20211008,O
3824,011330.OF,鹏华精选群英一年持有,鹏华基金,招商银行,混合型,20210923,,,20210622,,3.551,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+中债综合指数收益率*40%,L,灵活配置型,契约型开放式,,20211222,20220923,O
3825,010711.OF,华富国潮优选,华富基金,中国建设银行,混合型,20210923,,,20210909,,0.3347,1.5,0.25,,1.0,0.001,,中证内地消费主题指数收益率*65%+中证全债指数收益率*25%+中证港股通消费主题指数收益率*10%,L,混合型,契约型开放式,,20211105,20211105,O
3826,013192.OF,华商嘉悦稳健养老目标一年持有,华商基金,中国银行,混合型,20210923,,,20210827,,11.266,0.6,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*70%+中证800指数收益率*20%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20211125,20220923,O
3827,012187.OF,招商品质成长C,招商基金,中国光大银行,混合型,20210923,,,20210906,,8.3223,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20211223,20211223,O
3828,012914.OF,方正富邦趋势领航C,方正富邦基金,中国建设银行,混合型,20210923,,,20210906,,2.2075,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O
3829,012726.OF,申万菱信睿选A,申万菱信基金,兴业银行,混合型,20210923,20220902,,20210621,,0.0069,0.6,0.2,,1.0,0.0001,,中债综合指数收益率*70%+沪深300指数收益率*30%,D,混合型,契约型开放式,,20211025,20211025,O
3830,011710.OF,中欧睿泽A,中欧基金,招商银行,混合型,20210923,,,20210730,,10.2588,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O
3831,011711.OF,中欧睿泽C,中欧基金,招商银行,混合型,20210923,,,20210730,,1.2748,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O
3832,012173.OF,国泰兴泽优选一年持有期A,国泰基金,兴业银行,混合型,20210923,,,20210906,,10.6267,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20211209,20220926,O
3833,011893.OF,易方达长期价值A,易方达基金,中国农业银行,混合型,20210923,,,20210906,,13.108,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211220,20211220,O
3834,011862.OF,南方蓝筹成长A,南方基金,中国银行,混合型,20210923,,,20210730,,17.4388,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O
3835,011891.OF,易方达先锋成长A,易方达基金,交通银行,混合型,20210923,,,20210901,,5.4327,1.5,0.25,,1.0,0.0001,,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211220,20211220,O
3836,012421.OF,华夏优加生活A,华夏基金,中国工商银行,混合型,20210923,,,20210906,,11.9781,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211206,20211206,O
3837,012311.OF,民生加银康泰养老目标日期2040三年持有,民生加银基金,交通银行,混合型,20210923,,,20210823,,2.4702,0.9,0.2,,1.0,0.001,,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*45%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20211115,,O
3838,011894.OF,易方达长期价值C,易方达基金,中国农业银行,混合型,20210923,,,20210906,,0.1668,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211220,20211220,O
3839,012186.OF,招商品质成长A,招商基金,中国光大银行,混合型,20210923,,,20210906,,18.9181,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20211223,20211223,O
3840,011361.OF,华夏博锐一年持有A,华夏基金,招商银行,混合型,20210923,,,20210622,,0.1313,1.2,0.25,,1.0,0.0001,,上证国债指数收益率*70%+沪深300指数收益率*25%+经汇率调整的恒生指数收益率*5%,L,混合型,契约型开放式,,20211222,,O
3841,011892.OF,易方达先锋成长C,易方达基金,交通银行,混合型,20210923,,,20210901,,0.2734,1.5,0.25,,1.0,0.0001,,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211220,20211220,O
3842,159773.SZ,创科技ETF,华泰柏瑞基金,招商银行,股票型,20210923,,20211008,20210906,,2.923,0.5,0.1,,1.0,0.1,,创业板科技指数收益率,L,被动指数型,契约型开放式,,20211008,20211008,E
3843,012174.OF,国泰兴泽优选一年持有期C,国泰基金,兴业银行,混合型,20210923,,,20210906,,7.8472,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20211209,20220926,O
3844,012913.OF,方正富邦趋势领航A,方正富邦基金,中国建设银行,混合型,20210923,,,20210906,,11.9644,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O
3845,011362.OF,华夏博锐一年持有C,华夏基金,招商银行,混合型,20210923,,,20210622,,0.0056,1.2,0.25,,1.0,0.0001,,上证国债指数收益率*70%+沪深300指数收益率*25%+经汇率调整的恒生指数收益率*5%,L,混合型,契约型开放式,,20211222,,O
3846,012422.OF,华夏优加生活C,华夏基金,中国工商银行,混合型,20210923,,,20210906,,0.253,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211206,20211206,O
3847,013161.OF,创金合信碳中和C,创金合信基金,中信银行,混合型,20210922,,,20210823,,4.4755,1.5,0.25,,1.0,0.1,,中证内地低碳经济指数收益率*60%+恒生指数收益率*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20211201,20211201,O
3848,013160.OF,创金合信碳中和A,创金合信基金,中信银行,混合型,20210922,,,20210823,,7.625,1.5,0.25,,1.0,0.1,,中证内地低碳经济指数收益率*60%+恒生指数收益率*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20211201,20211201,O
3849,012535.OF,万家全球成长一年持有A,万家基金,中国工商银行,混合型,20210922,,,20210903,,17.4278,1.8,0.3,,1.0,0.001,,沪深300指数收益率*50%+恒生指数收益率(经估值汇率调整)*20%+中债综合指数收益率*20%+纳斯达克100指数收益率(经估值汇率调整)*10%,L,混合型,契约型开放式,,20211108,20220922,O
3850,539001.OF,建信纳斯达克100人民币A,建信基金,中国工商银行,股票型,20210922,,,20210922,,,0.8,0.25,,1.0,,,纳斯达克100指数收益率(经汇率调整)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210922,20210922,O
3851,562360.SH,机器人50ETF,银华基金,招商银行,股票型,20210922,,20211015,20210906,,3.8947,0.5,0.1,,1.0,0.1,,中证机器人指数收益率,L,被动指数型,契约型开放式,,20211015,20211015,E
3852,012536.OF,万家全球成长一年持有C,万家基金,中国工商银行,混合型,20210922,,,20210903,,5.9764,1.8,0.3,,1.0,0.001,,沪深300指数收益率*50%+恒生指数收益率(经估值汇率调整)*20%+中债综合指数收益率*20%+纳斯达克100指数收益率(经估值汇率调整)*10%,L,混合型,契约型开放式,,20211108,20220922,O
3853,012751.OF,建信纳斯达克100美元现汇A,建信基金,中国工商银行,股票型,20210922,,,,,,0.8,0.25,,0.1546,,,纳斯达克100指数收益率(经汇率调整)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211014,20211014,O
3854,013336.OF,天弘安悦90天滚动持有,天弘基金,兴业银行,债券型,20210922,,,20210916,,0.1,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20211014,20211221,O
3855,013450.OF,博时凤凰领航A,博时基金,浙商银行,混合型,20210922,,,20210913,,27.6044,1.5,0.25,,1.0,0.001,,中证浙江100指数收益率*65%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数(CNY)收益率*15%,L,混合型,契约型开放式,,20211222,20211222,O
3856,013451.OF,博时凤凰领航C,博时基金,浙商银行,混合型,20210922,,,20210913,,32.3367,1.5,0.25,,1.0,0.001,,中证浙江100指数收益率*65%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数(CNY)收益率*15%,L,混合型,契约型开放式,,20211222,20211222,O
3857,012752.OF,建信纳斯达克100人民币C,建信基金,中国工商银行,股票型,20210922,,,,,,0.8,0.25,,1.0,,,纳斯达克100指数收益率(经汇率调整)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211014,20211014,O
3858,012753.OF,建信纳斯达克100美元现汇C,建信基金,中国工商银行,股票型,20210922,,,,,,0.8,0.25,,0.1546,,,纳斯达克100指数收益率(经汇率调整)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211014,20211014,O
3859,011573.OF,鹏华安荣C,鹏华基金,中信银行,混合型,20210922,,,20210622,,1.0856,0.6,0.1,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20210928,20210928,O
3860,970039.OF,天风六个月滚动持有A,天风资管,兴业银行,债券型,20210922,,,20210922,,,0.5,0.05,,1.0,,,中债综合财富(1年以下)指数收益率*80%+银行一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211129,20220322,O
3861,011572.OF,鹏华安荣A,鹏华基金,中信银行,混合型,20210922,,,20210622,,1.2006,0.6,0.1,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20210928,20210928,O
3862,970040.OF,天风六个月滚动持有C,天风资管,兴业银行,债券型,20210922,,,,,,0.5,0.05,,1.0,,,中债综合财富(1年以下)指数收益率*80%+银行一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211129,20220322,O
3863,013417.OF,博时核心资产精选A,博时基金,中国工商银行,混合型,20210917,,,20210902,,9.4738,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20211217,20211217,O
3864,013558.OF,长信利富C,长信基金,中国工商银行,债券型,20210917,,,,,,0.7,0.2,,1.0,,,中证全债指数收益率*80%+中证800指数收益率*20%,L,债券型,契约型开放式,,20210917,20210922,O
3865,011681.OF,汇添富均衡精选六个月持有A,汇添富基金,中国农业银行,混合型,20210917,,,20210707,,1.9361,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,20211216,20220317,O
3866,013656.OF,博时臻选纯债C,博时基金,广发银行,债券型,20210917,,,,,,0.3,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20210917,20210917,O
3867,012611.OF,东方臻善纯债A,东方基金,交通银行,债券型,20210917,,,20210827,,18.9295,0.3,0.1,,1.0,0.0001,,中债总全价指数收益率,L,债券型,契约型开放式,,20210924,20210924,O
3868,560000.SH,智慧电车ETF,浦银安盛基金,招商银行,股票型,20210917,,20210930,20210903,,2.1202,0.5,0.1,,1.0,0.1,,中证智能电动汽车指数收益率,L,被动指数型,契约型开放式,,20210930,20210930,E
3869,013139.OF,上银恒泰稳健养老目标一年持有期,上银基金,兴业银行,混合型,20210917,,,20210816,,0.6186,0.8,0.2,,1.0,0.0001,,上证国债指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210924,20220919,O
3870,012612.OF,东方臻善纯债C,东方基金,交通银行,债券型,20210917,,,20210827,,0.0002,0.3,0.1,,1.0,0.0001,,中债总全价指数收益率,L,债券型,契约型开放式,,20210924,20210924,O
3871,012509.OF,兴证全球安悦稳健养老一年持有,兴证全球基金,招商银行,混合型,20210917,,,20210913,,63.4421,0.6,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*75%+中证偏股型基金指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20211209,20220919,O
3872,013261.OF,太平睿享C,太平基金,中信银行,混合型,20210917,,,20210823,,2.0356,0.6,0.1,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20211025,20211025,O
3873,011682.OF,汇添富均衡精选六个月持有C,汇添富基金,中国农业银行,混合型,20210917,,,20210707,,0.1362,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,20211216,20220317,O
3874,012242.OF,华安添荣,华安基金,兴业银行,债券型,20210917,,,20210907,,64.5005,0.3,0.05,,1.0,0.0001,,中债总财富(1-3年)指数收益率,L,债券型,契约型开放式,,20211025,20211025,O
3875,013418.OF,博时核心资产精选C,博时基金,中国工商银行,混合型,20210917,,,20210902,,0.5297,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20211217,20211217,O
3876,013260.OF,太平睿享A,太平基金,中信银行,混合型,20210917,,,20210823,,2.8026,0.6,0.1,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20211025,20211025,O
3877,013586.OF,天弘齐享C,天弘基金,恒丰银行,债券型,20210916,,,20210915,,0.05,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20211014,20211014,O
3878,013445.OF,西藏东财中证芯片产业A,西藏东财基金,兴业银行,股票型,20210916,,,20210906,,1.793,0.5,0.05,,1.0,0.0001,,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211101,20211101,O
3879,012045.OF,大成医药健康A,大成基金,中国农业银行,股票型,20210916,,,20210901,,3.5866,1.5,0.25,,1.0,0.0001,,中证医药卫生指数收益率*65%+中证综合债券指数收益率*20%+恒生指数收益率*15%,L,股票型,契约型开放式,,20211116,20211116,O
3880,012046.OF,大成医药健康C,大成基金,中国农业银行,股票型,20210916,,,20210901,,0.4569,1.5,0.25,,1.0,0.0001,,中证医药卫生指数收益率*65%+中证综合债券指数收益率*20%+恒生指数收益率*15%,L,股票型,契约型开放式,,20211116,20211116,O
3881,013594.OF,南方7-10年国开债E,南方基金,中国邮政储蓄银行,债券型,20210916,,,,,,0.15,0.05,,1.0,,,中债-7-10年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210916,20210916,O
3882,013593.OF,南方中债3-5年农发行E,南方基金,中国邮政储蓄银行,债券型,20210916,,,,,,0.15,0.05,,1.0,,,中债-3-5年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210916,20210916,O
3883,013592.OF,南方1-3年国开债E,南方基金,中国光大银行,债券型,20210916,,,,,,0.15,0.05,,1.0,,,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210916,20210916,O
3884,012113.OF,融通稳健增长一年持有A,融通基金,中国农业银行,混合型,20210916,,,20210901,,7.1151,0.5,0.2,,1.0,0.0001,,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+中证香港100指数收益率*5%,L,混合型,契约型开放式,,20211028,20220916,O
3885,013446.OF,西藏东财中证芯片产业C,西藏东财基金,兴业银行,股票型,20210916,,,20210906,,1.3577,0.5,0.05,,1.0,0.0001,,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211101,20211101,O
3886,970053.OF,方正鑫悦一年持有C,方正证券,交通银行,债券型,20210916,,,,,,0.6,0.2,,1.0,,,中债综合全价(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,债券型,契约型开放式,,20211011,20211011,O
3887,012114.OF,融通稳健增长一年持有C,融通基金,中国农业银行,混合型,20210916,,,20210901,,0.488,0.5,0.2,,1.0,0.0001,,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+中证香港100指数收益率*5%,L,混合型,契约型开放式,,20211028,20220916,O
3888,970052.OF,方正鑫悦一年持有A,方正证券,交通银行,债券型,20210916,,,20210916,,,0.6,0.2,,1.0,,,中债综合全价(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,债券型,契约型开放式,,20211011,20211011,O
3889,013374.OF,中银证券安业C,中银证券,兴业银行,债券型,20210916,,,20210913,,0.903,0.3,0.05,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20210922,20210922,O
3890,011922.OF,富国均衡成长三年持有C,富国基金,招商银行,混合型,20210916,,,20210901,,0.5731,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20211116,,O
3891,013373.OF,中银证券安业A,中银证券,兴业银行,债券型,20210916,,,20210913,,1.1011,0.3,0.05,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20210922,20210922,O
